Higher taxonomic group,Order,Family,Genus,species,female2n,male2n,"Predicted ploidy (1,2,3,4)",Sexual.system,sex.chromosome.system,"notes, comments"
Aves,Accipitriformes,Accipitridae,Aquila,adalberti,,,,gonochorous,ZW,
Aves,Accipitriformes,Accipitridae,Elanus,caeruleus,,,,gonochorous,ZW,
Aves,Accipitriformes,Accipitridae,Harpia,harpyja,,,,gonochorous,ZW,
Aves,Accipitriformes,Accipitridae,Leucopternis,albicollis,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Aix,galericulata,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Aix,sponsa,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Alopochen,aegyptiaca,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Anas,acuta,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Anas,cyanoptera,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Anas,discors,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Anas,platyrhynchos,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Anas,strepera,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Anser,anser,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Anser,cygnoides,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Aythya,affinis,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Aythya,americana,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Aythya,ferina,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Aythya,fuligula,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Aythya,valisineria,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Branta,canadensis,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Bucephala,clangula,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Cairina,moschata,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Cereopsis,novaehollandiae,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Chen,caerulescens,,,,gonochorous,ZW,was Anser
Aves,Anseriformes,Anatidae,Chen,canagica,,,,gonochorous,ZW,was Anser
Aves,Anseriformes,Anatidae,Chen,rossii,,,,gonochorous,ZW,was Anser
Aves,Anseriformes,Anatidae,Cygnus,olor,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Dendrocygna,bicolor,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Lophodytes,cucullatus,,,,gonochorous,ZW,was Mergus
Aves,Anseriformes,Anatidae,Mergus,merganser,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Oxyura,jamaicensis,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Somateria,mollissima,,,,gonochorous,ZW,
Aves,Anseriformes,Anatidae,Tadorna,tadorna,,,,gonochorous,ZW,
Aves,Anseriformes,Anseranatidae,Anseranas,semipalmata,,,,gonochorous,ZW,
Aves,Apodiformes,Trochilidae,Calypte,anna,,,,gonochorous,ZW,
Aves,Bucerotiformes,Bucerotidae,Buceros,bicornis,,,,gonochorous,ZW,
Aves,Bucerotiformes,Bucerotidae,Bycanistes,bucinator,,,,gonochorous,ZW,was Ceratogymna
Aves,Bucerotiformes,Bucerotidae,Bycanistes,subcylindricus,,,,gonochorous,ZW,was Ceratogymna
Aves,Bucerotiformes,Bucorvidae,Bucorvus,leadbeateri,,,,gonochorous,ZW,
Aves,Casuariiformes,Dromaiidae,Dromaius,novaehollandiae,,,,gonochorous,ZW,
Aves,Charadriiformes,Burhinidae,Burhinus,grallarius,,,,gonochorous,ZW,mas magirostris
Aves,Charadriiformes,Burhinidae,Burhinus,oedicnemus,,,,gonochorous,ZW,
Aves,Charadriiformes,Charadriidae,Charadrius,hiaticula,,,,gonochorous,ZW,
Aves,Charadriiformes,Charadriidae,Charadrius,vociferus,,,,gonochorous,ZW,
Aves,Charadriiformes,Charadriidae,Vanellus,vanellus,,,,gonochorous,ZW,
Aves,Charadriiformes,Haematopodidae,Haematopus,ostralegus,,,,gonochorous,ZW,
Aves,Charadriiformes,Laridae,Chroicocephalus,ridibundus,,,,gonochorous,ZW,was Larus
Aves,Charadriiformes,Laridae,Larus,argentatus,,,,gonochorous,ZW,
Aves,Charadriiformes,Laridae,Larus,canus,,,,gonochorous,ZW,
Aves,Charadriiformes,Laridae,Larus,fuscus,,,,gonochorous,ZW,
Aves,Charadriiformes,Laridae,Sterna,hirundo,,,,gonochorous,ZW,
Aves,Charadriiformes,Laridae,Sterna,paradisaea,,,,gonochorous,ZW,
Aves,Charadriiformes,Recurvirostridae,Recurvirostra,avosetta,,,,gonochorous,ZW,
Aves,Charadriiformes,Scolopacidae,Gallinago,gallinago,,,,gonochorous,ZW,
Aves,Charadriiformes,Scolopacidae,Numenius,arquata,,,,gonochorous,ZW,
Aves,Charadriiformes,Scolopacidae,Tringa,totanus,,,,gonochorous,ZW,
Aves,Ciconiiformes,Ciconiidae,Ciconia,ciconia,,,,gonochorous,ZW,
Aves,Ciconiiformes,Ciconiidae,Ciconia,maguari,,,,gonochorous,ZW,was Euxenura
Aves,Ciconiiformes,Ciconiidae,Ciconia,nigra,,,,gonochorous,ZW,
Aves,Ciconiiformes,Ciconiidae,Jabiru,mycteria,,,,gonochorous,ZW,
Aves,Ciconiiformes,Ciconiidae,Leptoptilos,crumenifer,,,,gonochorous,ZW,
Aves,Ciconiiformes,Ciconiidae,Leptoptilos,javanicus,,,,gonochorous,ZW,
Aves,Ciconiiformes,Ciconiidae,Mycteria,cinerea,,,,gonochorous,ZW,
Aves,Columbiformes,Columbidae,Caloenas,nicobarica,,,,gonochorous,ZW,
Aves,Columbiformes,Columbidae,Columba,livia,,,,gonochorous,ZW,
Aves,Columbiformes,Columbidae,Columba,palumboides,,,,gonochorous,ZW,
Aves,Columbiformes,Columbidae,Geopelia,cuneata,,,,gonochorous,ZW,
Aves,Columbiformes,Columbidae,Streptopelia,risoria,,,,gonochorous,ZW,
Aves,Columbiformes,Columbidae,Zenaida,macroura,,,,gonochorous,ZW,
Aves,Coraciiformes,Coraciidae,Coracias,benghalensis,,,,gonochorous,ZW,
Aves,Falconiformes,Falconidae,Falco,biarmicus,,,,gonochorous,ZW,
Aves,Falconiformes,Falconidae,Falco,columbarius,,,,gonochorous,ZW,
Aves,Falconiformes,Falconidae,Falco,peregrinus,,,,gonochorous,ZW,
Aves,Galliformes,Cracidae,Aburria,aburri,,,,gonochorous,ZW,
Aves,Galliformes,Cracidae,Mitu,mitu,,,,gonochorous,ZW,
Aves,Galliformes,Cracidae,Ortalis,canicollis,,,,gonochorous,ZW,
Aves,Galliformes,Megapodiidae,Aepypodius,arfakianus,,,,gonochorous,ZW,
Aves,Galliformes,Megapodiidae,Aepypodius,bruijnii,,,,gonochorous,ZW,
Aves,Galliformes,Numididae,Guttera,pucherani,,,,gonochorous,ZW,was eduoardi
Aves,Galliformes,Numididae,Numida,meleagris,,,,gonochorous,ZW,
Aves,Galliformes,Odontophoridae,Callipepla,californica,,,,gonochorous,ZW,was Lophortyx
Aves,Galliformes,Odontophoridae,Callipepla,gambelii,,,,gonochorous,ZW,was Lophortyx
Aves,Galliformes,Odontophoridae,Callipepla,squamata,,,,gonochorous,ZW,
Aves,Galliformes,Phasianidae,Afropavo,congensis,,,,gonochorous,ZW,
Aves,Galliformes,Phasianidae,Chrysolophus,pictus,,,,gonochorous,ZW,
Aves,Galliformes,Phasianidae,Coturnix,coturnix,,,,gonochorous,ZW,
Aves,Galliformes,Phasianidae,Gallus,gallus,,,,gonochorous,ZW,was domestius
Aves,Galliformes,Phasianidae,Lagopus,lagopus,,,,gonochorous,ZW,
Aves,Galliformes,Phasianidae,Lophura,swinhoii,,,,gonochorous,ZW,
Aves,Galliformes,Phasianidae,Meleagris,gallopavo,,,,gonochorous,ZW,
Aves,Galliformes,Phasianidae,Phasianus,colchicus,,,,gonochorous,ZW,
Aves,Gaviiformes,Gaviidae,Gavia,stellata,,,,gonochorous,ZW,
Aves,Gruiformes,Gruidae,Grus,japonensis,,,,gonochorous,ZW,
Aves,Gruiformes,Gruidae,Grus,rubicunda,,,,gonochorous,ZW,
Aves,Gruiformes,Rallidae,Fulica,atra,,,,gonochorous,ZW,
Aves,Gruiformes,Rallidae,Gallinula,chloropus,,,,gonochorous,ZW,
Aves,Passeriformes,Acrocephalidae,Acrocephalus,arundinaceus,,,,gonochorous,complex ZW,
Aves,Passeriformes,Alaudidae,Alauda,arvensis,,,,gonochorous,complex ZW,
Aves,Passeriformes,Certhiidae,Certhia,familiaris,,,,gonochorous,ZW,
Aves,Passeriformes,Cisticolidae,Orthotomus,sutorius,,,,gonochorous,ZW,
Aves,Passeriformes,Corvidae,Corvus,brachyrhynchos,,,,gonochorous,ZW,
Aves,Passeriformes,Corvidae,Corvus,corax,,,,gonochorous,ZW,
Aves,Passeriformes,Corvidae,Corvus,corone,,,,gonochorous,ZW,
Aves,Passeriformes,Corvidae,Cyanocitta,cristata,,,,gonochorous,ZW,
Aves,Passeriformes,Corvidae,Pica,pica,,,,gonochorous,ZW,
Aves,Passeriformes,Cotingidae,Cephalopterus,penduliger,,,,gonochorous,ZW,
Aves,Passeriformes,Emberizidae,Junco,hyemalis,,,,gonochorous,ZW,
Aves,Passeriformes,Emberizidae,Junco,insularis,,,,gonochorous,ZW,
Aves,Passeriformes,Emberizidae,Passerculus,sandwichensis,,,,gonochorous,ZW,
Aves,Passeriformes,Emberizidae,Zonotrichia,albicollis,,,,gonochorous,ZW,
Aves,Passeriformes,Emberizidae,Zonotrichia,capensis,,,,gonochorous,ZW,
Aves,Passeriformes,Emberizidae,Zonotrichia,leucophrys,,,,gonochorous,ZW,
Aves,Passeriformes,Estrildidae,Amadina,erythrocephala,,,,gonochorous,ZW,
Aves,Passeriformes,Estrildidae,Amadina,fasciata,,,,gonochorous,ZW,
Aves,Passeriformes,Estrildidae,Amandava,subflava,,,,gonochorous,ZW,
Aves,Passeriformes,Estrildidae,Emblema,pictum,,,,gonochorous,ZW,
Aves,Passeriformes,Estrildidae,Erythrura,gouldiae,,,,gonochorous,ZW,was Chloebia
Aves,Passeriformes,Estrildidae,Erythrura,trichroa,,,,gonochorous,ZW,
Aves,Passeriformes,Estrildidae,Estrilda,astrild,,,,gonochorous,ZW,
Aves,Passeriformes,Estrildidae,Euodice,malabarica,,,,gonochorous,ZW,was Lonchura
Aves,Passeriformes,Estrildidae,Lagonosticta,senegala,,,,gonochorous,ZW,
Aves,Passeriformes,Estrildidae,Lonchura,castaneothorax,,,,gonochorous,ZW,
Aves,Passeriformes,Estrildidae,Lonchura,flaviprymna,,,,gonochorous,ZW,
Aves,Passeriformes,Estrildidae,Lonchura,molucca,,,,gonochorous,ZW,
Aves,Passeriformes,Estrildidae,Lonchura,punctulata,,,,gonochorous,ZW,
Aves,Passeriformes,Estrildidae,Lonchura,striata,,,,gonochorous,ZW,
Aves,Passeriformes,Estrildidae,Neochmia,modesta,,,,gonochorous,ZW,was Aidemosyne
Aves,Passeriformes,Estrildidae,Neochmia,phaeton,,,,gonochorous,ZW,
Aves,Passeriformes,Estrildidae,Neochmia,temporalis,,,,gonochorous,ZW,was Aeginthia temporalis
Aves,Passeriformes,Estrildidae,Poephila,cincta,,,,gonochorous,ZW,
Aves,Passeriformes,Estrildidae,Poephila,personata,,,,gonochorous,ZW,
Aves,Passeriformes,Estrildidae,Stagonopleura,guttata,,,,gonochorous,ZW,was Emblema
Aves,Passeriformes,Estrildidae,Taeniopygia,bichenovii,,,,gonochorous,ZW,was Poephila
Aves,Passeriformes,Estrildidae,Taeniopygia,guttata,,,,gonochorous,ZW,was Poephila
Aves,Passeriformes,Estrildidae,Uraeginthus,bengalus,,,,gonochorous,ZW,
Aves,Passeriformes,Fringillidae,Serinus,canaria,,,,gonochorous,ZW,
Aves,Passeriformes,Motacillidae,Motacilla,flava,,,,gonochorous,ZW,
Aves,Passeriformes,Muscicapidae,Monticola,saxatilis,,,,gonochorous,ZW,
Aves,Passeriformes,Muscicapidae,Oenanthe,deserti,,,,gonochorous,ZW,
Aves,Passeriformes,Muscicapidae,Oenanthe,hispanica,,,,gonochorous,ZW,
Aves,Passeriformes,Muscicapidae,Oenanthe,oenanthe,,,,gonochorous,ZW,
Aves,Passeriformes,Muscicapidae,Phoenicurus,phoenicurus,,,,gonochorous,ZW,
Aves,Passeriformes,Muscicapidae,Saxicola,insignis,,,,gonochorous,ZW,
Aves,Passeriformes,Muscicapidae,Saxicola,torquatus,,,,gonochorous,ZW,
Aves,Passeriformes,Paridae,Parus,major,,,,gonochorous,ZW,
Aves,Passeriformes,Paridae,Poecile,palustris,,,,gonochorous,ZW,
Aves,Passeriformes,Passeridae,Passer,domesticus,,,,gonochorous,ZW,
Aves,Passeriformes,Passeridae,Passer,hispaniolensis,,,,gonochorous,ZW,
Aves,Passeriformes,Passeridae,Passer,montanus,,,,gonochorous,ZW,
Aves,Passeriformes,Sylviidae,Chrysomma,sinense,,,,gonochorous,ZW,
Aves,Passeriformes,Sylviidae,Sylvia,communis,,,,gonochorous,complex ZW,
Aves,Passeriformes,Thraupidae,Oryzoborus,maximiliani,,,,gonochorous,ZW,
Aves,Passeriformes,Thraupidae,Sporophila,americana,,,,gonochorous,ZW,
Aves,Passeriformes,Thraupidae,Sporophila,nigricollis,,,,gonochorous,ZW,
Aves,Passeriformes,Turdidae,Turdus,merula,,,,gonochorous,ZW,
Aves,Passeriformes,Turdidae,Turdus,migratorius,,,,gonochorous,ZW,
Aves,Passeriformes,Turdidae,Turdus,pilaris,,,,gonochorous,ZW,
Aves,Pelecaniformes,Ardeidae,Ardea,cinerea,,,,gonochorous,ZW,
Aves,Pelecaniformes,Ardeidae,Ardea,goliath,,,,gonochorous,ZW,
Aves,Pelecaniformes,Balaenicipitidae,Balaeniceps,rex,,,,gonochorous,ZW,
Aves,Pelecaniformes,Pelecanidae,Pelecanus,crispus,,,,gonochorous,ZW,
Aves,Pelecaniformes,Scopidae,Scopus,umbretta,,,,gonochorous,ZW,
Aves,Pelecaniformes,Threskiornithidae,Geronticus,eremita,,,,gonochorous,ZW,
Aves,Pelecaniformes,Threskiornithidae,Threskiornis,moluccus,,,,gonochorous,ZW,
Aves,Pelecaniformes,Threskiornithidae,Threskiornis,spinicollis,,,,gonochorous,ZW,
Aves,Piciformes,Megalaimidae,Megalaima,haemacephala,,,,gonochorous,ZW,
Aves,Piciformes,Picidae,Dendrocopos,mahrattensis,,,,gonochorous,ZW,was Picoides
Aves,Piciformes,Picidae,Picus,viridis,,,,gonochorous,ZW,
Aves,Podicipediformes,Podicipedidae,Podiceps,cristatus,,,,gonochorous,ZW,
Aves,Psittaciformes,Cacatuidae,Cacatua,galerita,,,,gonochorous,ZW,
Aves,Psittaciformes,Cacatuidae,Cacatua,sanguinea,,,,gonochorous,ZW,
Aves,Psittaciformes,Cacatuidae,Calyptorhynchus,banksii,,,,gonochorous,ZW,was magnificus
Aves,Psittaciformes,Cacatuidae,Nymphicus,hollandicus,,,,gonochorous,ZW,
Aves,Psittaciformes,Psittacidae,Amazona,viridigenalis,,,,gonochorous,ZW,
Aves,Psittaciformes,Psittacidae,Anodorhynchus,hyacinthinus,,,,gonochorous,ZW,
Aves,Psittaciformes,Psittacidae,Aratinga,aurea,,,,gonochorous,ZW,
Aves,Psittaciformes,Psittacidae,Aratinga,cactorum,,,,gonochorous,ZW,
Aves,Psittaciformes,Psittacidae,Deroptyus,accipitrinus,,,,gonochorous,ZW,
Aves,Psittaciformes,Psittacidae,Graydidascalus,brachyurus,,,,gonochorous,ZW,
Aves,Psittaciformes,Psittacidae,Melopsittacus,undulatus,,,,gonochorous,ZW,
Aves,Psittaciformes,Psittacidae,Pionus,maximiliani,,,,gonochorous,ZW,
Aves,Psittaciformes,Psittacidae,Psittrichas,fulgidus,,,,gonochorous,ZW,
Aves,Rheiformes,Rheidae,Rhea,americana,,,,gonochorous,ZW,
Aves,Rheiformes,Rheidae,Rhea,pennata,,,,gonochorous,ZW,was Pterocnemia
Aves,Strigiformes,Strigidae,Bubo,africanus,,,,gonochorous,ZW,
Aves,Strigiformes,Strigidae,Bubo,bubo,,,,gonochorous,ZW,
Aves,Strigiformes,Strigidae,Bubo,scandiacus,,,,gonochorous,ZW,was Nyctea
Aves,Strigiformes,Strigidae,Bubo,virginianus,,,,gonochorous,ZW,
Aves,Strigiformes,Strigidae,Ptilopsis,leucotis,,,,gonochorous,ZW,was Otus
Aves,Strigiformes,Strigidae,Strix,aluco,,,,gonochorous,ZW,
Aves,Strigiformes,Strigidae,Strix,nebulosa,,,,gonochorous,ZW,
Aves,Strigiformes,Strigidae,Strix,woodfordii,,,,gonochorous,ZW,was Ciccaba
Aves,Suliformes,Sulidae,Morus,bassanus,,,,gonochorous,ZW,
Aves,Tinamiformes,Tinamidae,Eudromia,elegans,,,,gonochorous,ZW,
Aves,Tinamiformes,Tinamidae,Nothura,maculosa,,,,gonochorous,ZW,
