order,family,genus,species,sex.system,SCS,scs.notes,fem.2n,mal.2n,cite.key
Isoptera,Kalotermitidae,Kalotermes,Kalotermes_flavicollis,,complex XY|homomorphic,X1X1X2X2/X1X2Y1,68,67,bergamaschi2007karyology
Isoptera,Termitidae,Lophotermes,Lophotermes_septentrionalis,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,bergamaschi2007karyology
Isoptera,Termitidae,Macrognathotermes,Macrognathotermes_sunteri,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,bergamaschi2007karyology
Isoptera,Termitidae,Macrotermes,Macrotermes_bellicosus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,vincke1978sex
Isoptera,Termitidae,Mastotermes,Mastotermes_darwiniensis,gonochorous,XY|homomorphic, multivalent absent,98,NA,bedo1987undifferentiated
Phasmatodea,Phylliidae,Bacillus,Bacillus_rossius,,XO,,36,35,white1976blattodea
Phasmatodea,Phasmatidae,Clitarchus,Clitarchus_hookeri,,,,36,NA,morgan2005hybrid
Phasmatodea,Phasmatidae,Acanthoxyla,Acanthoxyla_inermis,,,,36,NA,morgan2005hybrid
Mantodea,Mantidae,Tenodera,Tenodera_aridifolia,,complex XY,XXY,28,27,white1976blattodea
Phasmatodea,Phylliidae,Clonopsis,Clonopsis_soumiae,parthenogenetic,,,72,NA,milani2010reticulate
Mantophasmatodea,Austrophasmatidae,Karoophasma,Karoophasma_biedouwense,,XO,,14,13,lachowska2015first
Isoptera,Termitidae,Microcerotermes,Microcerotermes_nervosus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,bergamaschi2007karyology
Isoptera,Termitidae,Microcerotermes,Microcerotermes_boreus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,bergamaschi2007karyology
Isoptera,Termitidae,Microtermes,Microtermes_sp,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,vincke1978sex
Isoptera,Termitidae,Nasutitermes,Nasutitermes_longipennis,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,bergamaschi2007karyology
Grylloblata,Grylloblatidae,Galloisiana,Galloisiana_nipponensis,gonochorous,XY,heteromorphic,30,30,white1976blattodea
Phasmatodea,Phylliidae,Leptynia,Leptynia_montana,,XO,,38,37,bianchi1998analysis
Phasmatodea,Phylliidae,Bacillus,Bacillus_grandii_grandii,,XO,,34,33,scali2003linkage
Isoptera,Termitidae,Nasutitermes,Nasutitermes_graveolus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,bergamaschi2007karyology
Phasmatodea,Phylliidae,Leptynia,Leptynia_attenuata,,XY,,36,36,bianchi1998analysis
Isoptera,Termitidae,Nasutitermes,Nasutitermes_triodiae,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,bergamaschi2007karyology
Isoptera,Kalotermitidae,Neotermes,Neotermes_insularis,gonochorous,complex XY,XXXYYY,52,52,luykx1990cytogenetic
Isoptera,Termitidae,Odontotermes,Odontotermes_sp,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,48,NA,vincke1978sex
Isoptera,Termitidae,Pericapritermes,Pericapritermes_sp,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,vincke1978sex
Phasmatodea,Phylliidae,Bacillus,Bacillus_grandii_benazzii,,XO,,34,33,scali2003linkage
Isoptera,Stolotermitidae,Porotermes,Porotermes_adamsoni,gonochorous,,,40,40,luykx1990cytogenetic
Phasmatodea,Phylliidae,Bacillus,Bacillus_whitei,parthenogenetic,,,35,NA,scali2003linkage
Isoptera,Kalotermitidae,Procryptotermes,Procryptotermes_australiensis,gonochorous,complex XY,X1X1X2X2/X1X2Y1,48,47,luykx1990cytogenetic
Isoptera,Termitidae,Procubitermes,Procubitermes_sp,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,38,NA,vincke1978sex
Phasmatodea,Phylliidae,Leptynia,Leptynia_caprai,,XO,,40,39,bianchi1998analysis
Isoptera,Termitidae,Protermes,Protermes_sp,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,vincke1978sex
Mantodea,Mantidae,Tenodera,Tenodera_australasiae,,complex XY,XXY,28,27,white1976blattodea
Blattodea,Blattidae,Pelmatosilpha,Pelmatosilpha_sp,,XO,,38,37,white1976blattodea
Isoptera,Termitidae,Pseudacanthotermes,Pseudacanthotermes_militaris,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,vincke1978sex
Phasmatodea,Phylliidae,Bacillus,Bacillus_lynceorum,parthenogenetic,,,51,NA,scali2003linkage
Mantodea,Mantidae,Tenodera,Tenodera_superstitiosa,,complex XY,XXY,28,27,white1976blattodea
Phasmatodea,Phasmatidae,Acanthoxyla,Acanthoxyla_intermedia,parthenogenetic,,,38,NA,morgan2005hybrid
Isoptera,Termitidae,Reticulitermes,Reticulitermes_flavipes,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,vincke1978sex
Phasmatodea,Phasmidae,Acrophylla,Acrophylla_titan,,XO,,36,35,white1976blattodea
Phasmatodea,Phylliidae,Clonopsis,Clonopsis_maroccana,,XO,,22,21,milani2010reticulate
Isoptera,Termitidae,Reticulitermes,Reticulitermes_lucifugus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,vincke1978sex
Blattodea,Blattidae,Periplaneta,Periplaneta_americana,,XO,,34,33,white1976blattodea
Isoptera,Rhinotermitidae,Reticulitermes,Reticulitermes_urbis,gonochorous,homomorphic,,42,42,bergamaschi2007karyology
Dermaptera,Labiduridae,Nala,Nala_lividipes,,complex XY,XXY,38,37,hewitt1979animal
Isoptera,Termitidae,Schedorhinotermes,Schedorhinotermes_lamanianus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,38,NA,vincke1978sex
Isoptera,Stolotermitidae,Stolotermes,Stolotermes_sp,gonochorous,XO,,32,31,luykx1990cytogenetic
Isoptera,Termitidae,Thoracotermes,Thoracotermes_macrothorax,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,vincke1978sex
Dermaptera,Labiidae,Nesogaster,Nesogaster_sp,,complex XY,XXY,22,21,hewitt1979animal
Blattodea,Blattidae,Periplaneta,Periplaneta_australasiae,,XO,,28,27,white1976blattodea
Isoptera,Termitidae,Tuberculitermes,Tuberculitermes_bycanistes,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,vincke1978sex
Isoptera,Termitidae,Tumulitermes,Tumulitermes_pastinator,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,bergamaschi2007karyology
Phasmatodea,Phylliidae,Clonopsis,Clonopsis_gallica,parthenogenetic,,,54,NA,milani2010reticulate
Blattodea,Blattidae,Periplaneta,Periplaneta_brunnea,,XO,,28,27,white1976blattodea
Isoptera,Termitidae,Unguitermes,Unguitermes_sp,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,vincke1978sex
Isoptera,Termitidae,Zootermopsis,Zootermopsis_nevadensis,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,52,NA,vincke1978sex
Orthoptera,Acrididae,Dichroplus,Dichroplus_maculipennis,,XO,,24,23,mesa1982cariologia
Isoptera,Termitidae,Zootermopsis,Zootermopsis_angusticollis,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,52,NA,vincke1978sex
Phasmatodea,Phasmatidae,Acanthoxyla,Acanthoxyla_geisovii,parthenogenetic,,,38,,trewick2008you
Phasmatodea,Phylliidae,Clonopsis,Clonopsis_felicitatis,,XO,,36,35,milani2010reticulate
Phasmatodea,Phasmidae,Podacanthus,Podacanthus_wilkinsoni,,XO,,36,35,white1976blattodea
Orthoptera,Acrididae,Dichroplus,Dichroplus_vittatus,,XY,,20,20,mesa1982cariologia
Mantodea,Mantidae,Thesprotia,Thesprotia_graminis,,XO,,30,23,white1976blattodea
Phasmatodea,Phylliidae,Phalces,Phalces_sp,,XO,,36,35,white1976blattodea
Phasmatodea,Phylliidae,Pseudophasma,Pseudophasma_sp,,XO,,24,23,white1976blattodea
Grylloblata,Grylloblatidae,Grylloblatta,Grylloblatta_sp,gonochorous,XY,metacentric X and Y associated by one arm,30,NA,white1976blattodea
Blattodea,Blattidae,Periplaneta,Periplaneta_fuliginosa,,XO,,28,27,white1976blattodea
Phasmatodea,Phasmidae,Ctenomorpha,Ctenomorpha_sp,,XY,,30,30,white1976blattodea
Blattodea,Blattidae,Periplaneta,Periplaneta_japonica,,XO,,34,33,white1976blattodea
Blattodea,Blaberidae,Phoetalia,Phoetalia_sp,,XO,,54,53,white1976blattodea
Orthoptera,Acrididae,Dichroplus,Dichroplus_conspersus,,XO,,24,23,mesa1982cariologia
Orthoptera,Acrididae,Dichroplus,Dichroplus_pratensis,,XO,,20,19,mesa1982cariologia
Phasmatodea,Phylliidae,Pijnackeria,Pijnackeria_hispanica,,XO,,38,37,ghiselli2007leptynia
Plecoptera,Perlidae,Perla,Perla_abdominalis,,complex XO,X1X1X2X2/X1X2OO,28,26,mathey1947
Orthoptera,Acrididae,Dichroplus,Dichroplus_fuscus,,XO,,24,23,mesa1982cariologia
Blattodea,Polyphagidae,Polyphaga,Polyphaga_aegyptiaca,,XO,,64,63,white1976blattodea
Orthoptera,Romaleidae,Diponthus,Diponthus_sp,,XO,,24,23,mesa1982cariologia
Orthoptera,Gryllotalpidae,Gryllotalpa,Gryllotalpa_sp,,XO,,24,23,broza1998new
Mantodea,Mantidae,Vates,Vates_sp,,complex XY,XXY,28,27,white1976blattodea
Orthoptera,Acrididae,Hyalopteryx,Hyalopteryx_rufipennis,,XO,,24,23,mesa1982cariologia
Blattodea,Blattellidae,Pseudomops,Pseudomops_sp,,XO,,32,31,white1976blattodea
Orthoptera,Acrididae,Leiotettix,Leiotettix_viridis,,XO,,24,23,mesa1982cariologia
Orthoptera,Acrididae,Leiotettix,Leiotettix_flavipes,,XY,,22,22,mesa1982cariologia
Orthoptera,Acrididae,Leiotettix,Leiotettix_pulcher,,XY,,22,22,mesa1982cariologia
Orthoptera,Acrididae,Leptysma,Leptysma_sp,,XO,,24,23,mesa1982cariologia
Orthoptera,Pauliniidae,Marellia,Marellia_remipes,,XO,,24,23,mesa1982cariologia
Orthoptera,Acrididae,Metaleptea,Metaleptea_sp,,XO,,24,23,mesa1982cariologia
Orthoptera,Acrididae,Nahuelia,Nahuelia_rubriventris,,XO,,24,23,mesa1982cariologia
Phasmatodea,Timematidae,Timema,Timema_shepardi,parthenogenetic,,,24,NA,vickery1999two
Phasmatodea,Timematidae,Timema,Timema_poppensis,gonochorous,,,24,NA,vickery1999two
Plecoptera,Perlodidae,Isoperla,Isoperla_grammatica,,complex XO,X1X1X2X2/X1X2OO,28,26,mathey1947
Orthoptera,Acrididae,Neopedies,Neopedies_brunneri,,XO,,24,23,mesa1982cariologia
Orthoptera,Acrididae,Ommatolampis,Ommatolampis_sp,,XO,,24,23,mesa1982cariologia
Orthoptera,Ommexechidae,Ommexecha,Ommexecha_sp,,XO,,24,23,mesa1982cariologia
Orthoptera,Pauliniidae,Paulinia,Paulinia_acuminata,,XO,,24,23,mesa1982cariologia
Plecoptera,Perlidae,Perla,Perla_marginata,,complex XO,X1X1X2X2/X1X2OO,24,22,junker1923cytologische
Orthoptera,Romaleidae,Prionolopha,Prionolopha_serrata,,XO,,24,23,mesa1982cariologia
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas_nigrigena,,XO,,24,23,mesa1982cariologia
Orthoptera,Acrididae,Ronderosia,Ronderosia_sp,gonochorous,XY,X1X1X2X2/X1X2Y,22,NA,castillo2010sex
Orthoptera,Acrididae,Schistocerca,Schistocerca_pallens,,XO,,24,23,mesa1982cariologia
Orthoptera,Acrididae,Schistocerca,Schistocerca_cancellata,,XO,,24,23,mesa1982cariologia
Orthoptera,Acrididae,Schistocerca,Schistocerca_flavofasciata,,XO,,24,23,mesa1982cariologia
Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus_surinamensis,,,,35,NA,white1976blattodea
Orthoptera,Acrididae,Scotussa,Scotussa_lemniscata,,XO,,24,23,mesa1982cariologia
Orthoptera,Acrididae,Scotussa,Scotussa_impudica,,XO,,24,23,mesa1982cariologia
Orthoptera,Acrididae,Scotussa,Scotussa_daguerrei,gonochorous,XY,X1X1X2X2/X1X2Y,22,NA,castillo2010sex
Orthoptera,Acrididae,Sinipta,Sinipta_dalmani,,XO,,24,23,mesa1982cariologia
Orthoptera,Acrididae,Trimerotropis,Trimerotropis_pallidipennis,,XO,,24,23,mesa1982cariologia
Orthoptera,Acrididae,Trimerotropis,Trimerotropis_ochraceipennis,,XO,,24,23,mesa1982cariologia
Orthoptera,Tristiridae,Tropidostethus,Tropidostethus_sp,,XO,,22,21,mesa1982cariologia
Orthoptera,Romaleidae,Xyleus,Xyleus_modestus,,XO,,24,23,mesa1982cariologia
Orthoptera,Romaleidae,Xyleus,Xyleus_laevipes,,XY,,22,22,mesa1982cariologia
Blattodea,Blaberidae,Rhabdoblatta,Rhabdoblatta_sp,,XO,,50,49,white1976blattodea
Blattodea,Blattellidae,Supella,Supella_longipalpa,,XO,,20,19,white1976blattodea
Orthoptera,Romaleidae,Xyleus,Xyleus_insignis,,XO,,24,23,mesa1982cariologia
Blattodea,Blattellidae,Symploce,Symploce_sp,,XO,,28,27,white1976blattodea
Blattodea,Blattellidae,Symplocodes,Symplocodes_sp,,XO,,40,39,white1976blattodea
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda_hempeli,,XO,,24,23,mesa1982cariologia
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda_tarsata,,XO,,24,23,mesa1982cariologia
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda_omnicolor,,XO,,24,23,mesa1982cariologia
Blattodea,Blattellidae,Xestoblatta,Xestoblatta_sp,,XO,,38,37,white1976blattodea
